id,trial,type,background,valence,result,probability,sp
36,4,1,1,1,2,2,0.07
36,5,1,1,2,1,1,0.65
36,6,1,1,2,1,2,0
36,7,1,1,2,2,1,0
36,8,1,1,2,2,2,1
37,1,1,1,1,1,1,0.03
37,2,1,1,1,1,2,0.89
37,3,1,1,1,2,1,1
37,4,1,1,1,2,2,0
37,5,1,1,2,1,1,1
37,6,1,1,2,1,2,0.13
37,7,1,1,2,2,1,0.13
37,8,1,1,2,2,2,0.9
38,1,1,1,1,1,1,0.53
38,2,1,1,1,1,2,0.88
38,3,1,1,1,2,1,0.97
38,4,1,1,1,2,2,0.67
38,5,1,1,2,1,1,0.96
38,6,1,1,2,1,2,0.71
38,7,1,1,2,2,1,0.56
38,8,1,1,2,2,2,0.93
39,1,1,1,1,1,1,0.23
39,2,1,1,1,1,2,0.82
39,3,1,1,1,2,1,0.98
39,4,1,1,1,2,2,0.18
39,5,1,1,2,1,1,1
39,6,1,1,2,1,2,0.19
39,7,1,1,2,2,1,0.03
39,8,1,1,2,2,2,0.56
40,1,1,2,1,1,1,0.91
40,2,1,2,1,1,2,0.96
40,3,1,2,1,2,1,0.98
40,4,1,2,1,2,2,1
40,5,1,2,2,1,1,0.98
40,6,1,2,2,1,2,1
40,7,1,2,2,2,1,0.77
40,8,1,2,2,2,2,1
41,1,1,2,1,1,1,0.04
41,2,1,2,1,1,2,0.83
41,3,1,2,1,2,1,0.98
41,4,1,2,1,2,2,0
41,5,1,2,2,1,1,1
41,6,1,2,2,1,2,0
41,7,1,2,2,2,1,0.16
41,8,1,2,2,2,2,0.95
42,1,1,2,1,1,1,0
42,2,1,2,1,1,2,0
42,3,1,2,1,2,1,0.98
42,4,1,2,1,2,2,1
42,5,1,2,2,1,1,1
42,6,1,2,2,1,2,0.93
42,7,1,2,2,2,1,0
42,8,1,2,2,2,2,0.35
43,1,1,2,1,1,1,0
43,2,1,2,1,1,2,1
43,3,1,2,1,2,1,1
43,4,1,2,1,2,2,0.15
43,5,1,2,2,1,1,0.93
43,6,1,2,2,1,2,0
43,7,1,2,2,2,1,0
43,8,1,2,2,2,2,1
44,1,1,2,1,1,1,0
44,2,1,2,1,1,2,0.81
44,3,1,2,1,2,1,0.94
44,4,1,2,1,2,2,0
44,5,1,2,2,1,1,0.96
44,6,1,2,2,1,2,0
44,7,1,2,2,2,1,0
44,8,1,2,2,2,2,1
45,1,1,2,1,1,1,0.03
45,2,1,2,1,1,2,0.93
45,3,1,2,1,2,1,0.97
45,4,1,2,1,2,2,0
45,5,1,2,2,1,1,1
45,6,1,2,2,1,2,0
45,7,1,2,2,2,1,0.02
45,8,1,2,2,2,2,0.85
46,1,1,2,1,1,1,0.92
46,2,1,2,1,1,2,1
46,3,1,2,1,2,1,0.93
46,4,1,2,1,2,2,1
46,5,1,2,2,1,1,0.7
46,6,1,2,2,1,2,0.9
46,7,1,2,2,2,1,0.82
46,8,1,2,2,2,2,0.67
47,1,1,2,1,1,1,0.04
47,2,1,2,1,1,2,1
47,3,1,2,1,2,1,0.97
47,4,1,2,1,2,2,0.05
47,5,1,2,2,1,1,0.97
47,6,1,2,2,1,2,0
47,7,1,2,2,2,1,0.05
47,8,1,2,2,2,2,0.38
48,1,1,2,1,1,1,0.04
48,2,1,2,1,1,2,1
48,3,1,2,1,2,1,1
48,4,1,2,1,2,2,0
48,5,1,2,2,1,1,0.98
48,6,1,2,2,1,2,0
48,7,1,2,2,2,1,0
48,8,1,2,2,2,2,0.82
49,1,1,2,1,1,1,0.03
49,2,1,2,1,1,2,0.68
49,3,1,2,1,2,1,0.97
49,4,1,2,1,2,2,0.28
49,5,1,2,2,1,1,0.94
49,6,1,2,2,1,2,0.2
49,7,1,2,2,2,1,0.14
49,8,1,2,2,2,2,0.82
50,1,1,2,1,1,1,0.3
50,2,1,2,1,1,2,0.5
50,3,1,2,1,2,1,1
50,4,1,2,1,2,2,1
50,5,1,2,2,1,1,1
50,6,1,2,2,1,2,0.92
50,7,1,2,2,2,1,0.51
50,8,1,2,2,2,2,0.74
51,1,1,2,1,1,1,0.35
51,2,1,2,1,1,2,0.94
51,3,1,2,1,2,1,1
51,4,1,2,1,2,2,0.16
51,5,1,2,2,1,1,1
51,6,1,2,2,1,2,0.24
51,7,1,2,2,2,1,0.31
51,8,1,2,2,2,2,1
52,1,1,2,1,1,1,0.05
52,2,1,2,1,1,2,1
52,3,1,2,1,2,1,0.98
52,4,1,2,1,2,2,0.08
52,5,1,2,2,1,1,1
52,6,1,2,2,1,2,0
52,7,1,2,2,2,1,0.11
52,8,1,2,2,2,2,0.94
53,1,1,2,1,1,1,0.19
53,2,1,2,1,1,2,0.79
53,3,1,2,1,2,1,0.67
53,4,1,2,1,2,2,0.38
53,5,1,2,2,1,1,0.89
53,6,1,2,2,1,2,0.13
53,7,1,2,2,2,1,0.33
53,8,1,2,2,2,2,0.76
54,1,1,2,1,1,1,0.13
54,2,1,2,1,1,2,0.89
54,3,1,2,1,2,1,0.96
54,4,1,2,1,2,2,0.07
54,5,1,2,2,1,1,1
54,6,1,2,2,1,2,0
54,7,1,2,2,2,1,0.08
54,8,1,2,2,2,2,0.87
55,1,1,2,1,1,1,0
55,2,1,2,1,1,2,0.81
55,3,1,2,1,2,1,0.64
55,4,1,2,1,2,2,0
55,5,1,2,2,1,1,0.7
55,6,1,2,2,1,2,0
55,7,1,2,2,2,1,0
55,8,1,2,2,2,2,0.81
56,1,1,2,1,1,1,0.13
56,2,1,2,1,1,2,0.94
56,3,1,2,1,2,1,1
56,4,1,2,1,2,2,0.13
56,5,1,2,2,1,1,1
56,6,1,2,2,1,2,0.16
56,7,1,2,2,2,1,0.32
56,8,1,2,2,2,2,0.85
57,1,1,2,1,1,1,0.16
57,2,1,2,1,1,2,0
57,3,1,2,1,2,1,0.83
57,4,1,2,1,2,2,0.93
57,5,1,2,2,1,1,0.9
57,6,1,2,2,1,2,1
57,7,1,2,2,2,1,0.13
57,8,1,2,2,2,2,0.29
58,1,1,2,1,1,1,0
58,2,1,2,1,1,2,0.18
58,3,1,2,1,2,1,0.97
58,4,1,2,1,2,2,1
58,5,1,2,2,1,1,0.97
58,6,1,2,2,1,2,1
58,7,1,2,2,2,1,0.05
58,8,1,2,2,2,2,0
59,1,1,2,1,1,1,0
59,2,1,2,1,1,2,0.95
59,3,1,2,1,2,1,1
59,4,1,2,1,2,2,0
59,5,1,2,2,1,1,1
59,6,1,2,2,1,2,0
59,7,1,2,2,2,1,0.06
59,8,1,2,2,2,2,1
60,1,1,2,1,1,1,0.07
60,2,1,2,1,1,2,0.75
60,3,1,2,1,2,1,1
60,4,1,2,1,2,2,0.29
60,5,1,2,2,1,1,1
60,6,1,2,2,1,2,0
60,7,1,2,2,2,1,0.15
60,8,1,2,2,2,2,0.8
61,1,1,2,1,1,1,0.17
61,2,1,2,1,1,2,0.86
61,3,1,2,1,2,1,1
61,4,1,2,1,2,2,0.25
61,5,1,2,2,1,1,1
61,6,1,2,2,1,2,0.88
61,7,1,2,2,2,1,0.36
61,8,1,2,2,2,2,0.92
62,1,1,2,1,1,1,0.06
62,2,1,2,1,1,2,0
62,3,1,2,1,2,1,0.87
62,4,1,2,1,2,2,0.78
62,5,1,2,2,1,1,0.72
62,6,1,2,2,1,2,0.82
62,7,1,2,2,2,1,0.14
62,8,1,2,2,2,2,0.1
63,1,1,2,1,1,1,0.43
63,2,1,2,1,1,2,0.47
